idema,provincia
0016A,TARRAGONA
0076,BARCELONA
0149X,BARCELONA
0201D,BARCELONA
0252D,BARCELONA
0324A,GIRONA
0367,GIRONA
0372C,GIRONA
1002Y,NAVARRA
1014A,GIPUZKOA
1037Y,GIPUZKOA
1041A,GIPUZKOA
1050J,GIPUZKOA
1057B,BIZKAIA
1059X,BIZKAIA
1078I,BIZKAIA
1082,BIZKAIA
1083L,CANTABRIA
1111X,CANTABRIA
1159,CANTABRIA
1183X,ASTURIAS
1207U,ASTURIAS
1208H,ASTURIAS
1210X,ASTURIAS
1212E,ASTURIAS
1221D,ASTURIAS
1249X,ASTURIAS
1283U,ASTURIAS
1331A,ASTURIAS
1351,A CORUÑA
1387,A CORUÑA
1387E,A CORUÑA
1393,A CORUÑA
1400,A CORUÑA
1428,A CORUÑA
1473A,A CORUÑA
1475X,A CORUÑA
1484C,PONTEVEDRA
1495,PONTEVEDRA
1505,LUGO
1542,ASTURIAS
1549,LEON
1631E,OURENSE
1690A,OURENSE
1700X,OURENSE
1735X,OURENSE
2030,SORIA
2117D,BURGOS
2150H,SEGOVIA
2235U,PALENCIA
2298,BURGOS
2331,BURGOS
2400E,PALENCIA
2422,VALLADOLID
2444,AVILA
2462,MADRID
2465,SEGOVIA
2491C,SALAMANCA
2614,ZAMORA
2630X,LEON
2661,LEON
2737E,LEON
2755X,ZAMORA
2775X,ZAMORA
2867,SALAMANCA
2870,SALAMANCA
2916A,SALAMANCA
2946X,SALAMANCA
3013,GUADALAJARA
3094B,CUENCA
3100B,MADRID
3110C,MADRID
3111D,MADRID
3129,MADRID
3130C,GUADALAJARA
3168D,GUADALAJARA
3191E,MADRID
3194U,MADRID
3195,MADRID
3260B,TOLEDO
3266A,MADRID
3298X,TOLEDO
3338,MADRID
3365A,TOLEDO
3434X,CACERES
3469A,CACERES
3519X,CACERES
3526X,CACERES
3576X,CACERES
4061X,TOLEDO
4067,TOLEDO
4090Y,CUENCA
4103X,CIUDAD REAL
4121,CIUDAD REAL
4147X,CIUDAD REAL
4148,CIUDAD REAL
4220X,CIUDAD REAL
4244X,BADAJOZ
4267X,CORDOBA
4358X,BADAJOZ
4386B,BADAJOZ
4410X,BADAJOZ
4452,BADAJOZ
4511C,BADAJOZ
4549Y,HUELVA
4560Y,HUELVA
4642E,HUELVA
5000C,CEUTA
5047E,GRANADA
5181D,JAEN
5192,JAEN
5270B,JAEN
5298X,JAEN
5390Y,CORDOBA
5402,CORDOBA
5427X,CORDOBA
5530E,GRANADA
5582A,GRANADA
5612B,SEVILLA
5641X,SEVILLA
5704B,SEVILLA
5783,SEVILLA
5796,SEVILLA
5860E,HUELVA
5911A,CADIZ
5960,CADIZ
5972X,CADIZ
5973,CADIZ
5995B,CADIZ
6000A,MELILLA
6001,CADIZ
6058I,MALAGA
6084X,MALAGA
6106X,MALAGA
6155A,MALAGA
6156X,MALAGA
6172O,MALAGA
6205X,MALAGA
6277B,ALMERIA
6293X,ALMERIA
6302A,ALMERIA
6325O,ALMERIA
6367B,ALMERIA
7002Y,MURCIA
7012C,MURCIA
7031X,MURCIA
7096B,ALBACETE
7119B,MURCIA
7145D,MURCIA
7178I,MURCIA
7209,MURCIA
7247X,ALICANTE
7275C,MURCIA
8019,ALICANTE
8025,ALICANTE
8050X,ALICANTE
8096,CUENCA
8175,ALBACETE
8178D,ALBACETE
8293X,VALENCIA
8309X,VALENCIA
8325X,VALENCIA
8368U,TERUEL
8414A,VALENCIA
8416Y,VALENCIA
8489X,CASTELLON
8500A,CASTELLON
9001D,CANTABRIA
9019B,CANTABRIA
9051,BURGOS
9091R,ARABA/ALAVA
9111,BURGOS
9170,LA RIOJA
9208E,HUESCA
9244X,ZARAGOZA
9263D,NAVARRA
9263X,NAVARRA
9294E,NAVARRA
9381I,TERUEL
9390,ZARAGOZA
9394X,ZARAGOZA
9434,ZARAGOZA
9434P,ZARAGOZA
9563X,CASTELLON
9569A,TERUEL
9573X,TERUEL
9585,GIRONA
9619,LLEIDA
9698U,LLEIDA
9771C,LLEIDA
9784P,HUESCA
9898,HUESCA
9981A,TARRAGONA
9990X,LLEIDA
B013X,ILLES BALEARS
B228,ILLES BALEARS
B248,ILLES BALEARS
B278,ILLES BALEARS
B434X,ILLES BALEARS
B569X,ILLES BALEARS
B691Y,ILLES BALEARS
B893,ILLES BALEARS
B954,ILLES BALEARS
C029O,LAS PALMAS
C129Z,STA. CRUZ DE TENERIFE
C139E,STA. CRUZ DE TENERIFE
C229J,LAS PALMAS
C249I,LAS PALMAS
C329Z,STA. CRUZ DE TENERIFE
C429I,STA. CRUZ DE TENERIFE
C430E,STA. CRUZ DE TENERIFE
C439J,STA. CRUZ DE TENERIFE
C447A,STA. CRUZ DE TENERIFE
C449C,STA. CRUZ DE TENERIFE
C459Z,STA. CRUZ DE TENERIFE
C629X,LAS PALMAS
C649I,LAS PALMAS
C659H,LAS PALMAS
C659M,LAS PALMAS
C689E,LAS PALMAS
C929I,STA. CRUZ DE TENERIFE
